姓名 高数 Java 数据结构 平均成绩 总成绩
张三84 77 79 93 83 249
张三33 27 47 96 56 170
张三65 98 44 10 50 152
张三98 37 68 61 55 166
张三40 12 26 74 37 112
张三22 80 61 59 66 200
张三73 97 86 33 72 216
张三87 77 15 55 49 147
张三1 51 20 14 28 85
张三55 46 68 32 48 146
张三55 46 33 4 27 83
张三32 66 9 50 41 125
张三50 70 27 99 65 196
张三80 67 66 89 74 222
张三41 74 82 27 61 183
张三73 27 17 14 19 58
张三75 95 64 96 85 255
张三60 24 29 12 21 65
张三1 52 4 13 23 69
张三95 76 17 77 56 170
张三14 25 18 75 39 118
张三25 72 81 34 62 187
张三51 61 68 45 58 174
张三63 65 43 39 49 147
张三51 70 85 37 64 192
张三88 98 18 3 39 119
张三53 6 4 91 33 101
张三35 68 79 8 51 155
张三13 47 77 9 44 133
张三79 57 95 25 59 177
张三28 13 66 84 54 163
张三24 78 63 50 63 191
张三27 93 44 40 59 177
张三44 31 54 20 35 105
张三58 66 34 57 52 157
张三50 45 50 74 56 169
张三73 39 76 68 61 183
张三62 65 36 61 54 162
张三11 34 13 41 29 88
张三30 15 79 27 40 121
张三98 99 12 82 64 193
张三22 27 13 24 21 64
张三49 30 78 18 42 126
张三63 30 94 22 48 146
张三24 17 25 60 34 102
张三23 45 14 18 25 77
张三62 62 6 45 37 113
张三54 15 78 76 56 169
张三21 31 24 5 20 60
张三40 70 79 38 62 187
张三77 24 63 19 35 106
张三25 20 39 90 49 149
张三72 1 28 43 24 72
张三98 8 88 82 59 178
张三3 70 73 23 55 166
张三77 70 2 22 31 94
张三3 45 53 36 44 134
张三20 90 30 0 40 120
张三50 27 40 13 26 80
张三34 50 64 15 43 129
张三6 45 75 48 56 168
张三88 1 53 7 20 61
张三74 99 62 82 81 243
张三30 8 47 17 24 72
张三21 56 10 26 30 92
张三70 52 37 26 38 115
张三8 7 89 64 53 160
张三89 92 13 51 52 156
张三24 87 57 37 60 181
张三66 10 61 96 55 167
张三15 14 70 21 35 105
张三49 0 84 82 55 166
张三60 91 73 19 61 183
张三13 71 93 9 57 173
张三22 93 54 65 70 212
张三67 75 22 27 41 124
张三88 18 1 86 35 105
张三14 90 62 12 54 164
张三80 81 78 67 75 226
张三74 98 9 71 59 178
张三77 82 34 46 54 162
张三25 53 69 38 53 160
张三10 68 0 94 54 162
张三18 35 88 21 48 144
张三3 87 35 82 68 204
张三69 14 69 8 30 91
张三68 78 28 38 48 144
张三49 87 13 62 54 162
张三98 73 80 37 63 190
张三5 60 94 47 67 201
张三93 86 93 79 86 258
张三93 82 48 62 64 192
张三15 20 75 60 51 155
张三16 53 50 87 63 190
张三84 23 14 27 21 64
张三70 74 83 68 75 225
张三27 63 86 68 72 217
张三69 97 54 80 77 231
张三56 16 10 5 10 31
张三97 95 94 57 82 246
张三47 75 41 57 57 173
张三84 78 44 86 69 208
张三23 26 2 13 13 41
张三40 96 23 78 65 197
张三90 60 50 29 46 139
张三71 31 26 89 48 146
张三56 8 66 30 34 104
张三56 51 3 44 32 98
张三45 11 95 85 63 191
张三84 85 3 79 55 167
张三80 76 73 97 82 246
张三64 52 1 21 24 74
张三99 76 38 12 42 126
张三43 28 31 57 38 116
张三36 90 78 38 68 206
张三25 61 3 65 43 129
张三61 92 0 45 45 137
张三64 52 61 14 42 127
张三84 43 99 65 69 207
张三52 60 23 54 45 137
张三46 31 60 31 40 122
张三66 20 11 37 22 68
张三75 80 43 14 45 137
张三11 49 53 70 57 172
张三56 8 15 51 24 74
张三86 11 20 72 34 103
张三57 7 29 72 36 108
张三67 48 30 77 51 155
张三16 97 74 62 77 233
张三65 92 34 29 51 155
张三59 36 46 35 39 117
张三21 45 57 45 49 147
张三22 24 3 86 37 113
张三41 57 72 45 58 174
张三0 19 15 53 29 87
张三81 53 24 74 50 151
张三28 54 9 16 26 79
张三25 2 25 73 33 100
张三80 20 89 4 37 113
张三37 6 97 62 55 165
张三46 58 73 83 71 214
张三72 68 36 47 50 151
张三1 76 53 61 63 190
张三63 63 8 73 48 144
张三0 80 18 25 41 123
张三37 14 16 66 32 96
张三57 91 57 88 78 236
张三20 62 96 54 70 212
张三78 76 39 27 47 142
张三33 63 29 49 47 141
张三69 28 56 25 36 109
张三94 70 67 40 59 177
张三43 62 52 60 58 174
张三66 71 28 15 38 114
张三82 25 89 0 38 114
张三31 90 0 20 36 110
张三41 21 15 88 41 124
张三74 78 53 33 54 164
张三98 11 46 39 32 96
张三4 58 63 88 69 209
张三72 33 63 78 58 174
张三45 78 76 99 84 253
张三90 55 92 94 80 241
张三82 5 89 51 48 145
张三55 57 22 76 51 155
张三42 67 15 76 52 158
张三43 0 73 72 48 145
张三33 7 54 22 27 83
张三52 34 28 85 49 147
张三95 19 94 69 60 182
张三64 43 73 86 67 202
张三15 88 14 78 60 180
张三93 47 29 16 30 92
张三15 32 67 59 52 158
张三37 92 62 2 52 156
张三20 30 48 97 58 175
张三58 99 99 29 75 227
张三66 1 92 70 54 163
张三46 71 93 9 57 173
张三95 26 57 54 45 137
张三58 51 18 57 42 126
张三58 71 72 0 47 143
张三25 7 83 82 57 172
张三16 34 71 12 39 117
张三71 71 82 19 57 172
张三8 11 35 82 42 128
张三93 57 51 79 62 187
张三42 86 13 53 50 152
张三85 51 70 3 41 124
张三6 62 96 10 56 168
张三16 24 41 20 28 85
张三20 95 66 21 60 182
张三90 34 37 63 44 134
张三64 14 45 93 50 152
张三44 4 91 0 31 95
张三74 12 4 96 37 112
张三74 0 78 63 47 141
张三67 59 25 77 53 161
张三79 33 1 94 42 128
张三42 79 19 75 57 173
张三75 76 2 43 40 121
张三92 64 33 94 63 191
张三20 61 36 84 60 181
张三91 43 14 2 19 59
张三36 95 87 35 72 217
张三54 24 7 76 35 107
张三41 18 31 87 45 136
张三92 62 0 85 49 147
张三11 80 45 98 74 223
张三3 42 49 99 63 190
张三41 21 39 0 20 60
张三68 64 47 69 60 180
张三77 80 59 7 48 146
张三46 77 18 97 64 192
张三30 60 69 47 58 176
张三93 2 43 8 17 53
张三0 30 40 50 40 120
张三34 26 65 92 61 183
张三81 36 73 48 52 157
张三81 72 13 72 52 157
张三0 64 55 91 70 210
张三63 74 50 8 44 132
张三29 69 23 77 56 169
张三13 13 39 66 39 118
张三77 51 68 39 52 158
张三41 77 78 95 83 250
张三32 63 33 57 51 153
张三60 75 40 88 67 203
张三31 79 57 75 70 211
张三75 11 33 35 26 79
张三66 40 83 39 54 162
张三37 77 60 84 73 221
张三48 70 43 95 69 208
张三17 55 35 65 51 155
张三5 30 70 10 36 110
张三62 15 7 53 25 75
张三75 45 99 4 49 148
张三34 47 76 72 65 195
张三17 33 73 97 67 203
张三45 79 7 51 45 137
张三60 5 63 28 32 96
张三38 61 94 13 56 168
张三52 30 47 92 56 169
张三73 10 6 36 17 52
张三91 77 34 83 64 194
张三32 63 27 10 33 100
张三45 77 18 74 56 169
张三33 65 84 14 54 163
张三88 72 82 48 67 202
张三28 96 97 53 82 246
张三11 37 22 60 39 119
张三30 27 25 37 29 89
张三99 4 24 9 12 37
张三76 33 74 99 68 206
张三58 4 36 40 26 80
张三43 23 92 87 67 202
张三52 25 20 3 16 48
张三58 60 77 67 68 204
张三82 54 55 48 52 157
张三73 80 61 20 53 161
张三6 22 47 26 31 95
张三2 32 53 30 38 115
张三93 1 61 21 27 83
张三31 96 57 95 82 248
张三59 21 78 50 49 149
张三59 58 87 5 50 150
张三18 75 40 86 67 201
张三20 48 54 61 54 163
张三59 65 43 1 36 109
张三0 59 96 40 65 195
张三28 95 87 37 73 219
张三54 12 73 34 39 119
张三67 98 98 44 80 240
张三72 47 53 3 34 103
张三52 82 63 48 64 193
张三69 24 46 26 32 96
张三25 9 72 33 38 114
张三77 90 92 51 77 233
张三12 53 38 62 51 153
张三79 46 78 65 63 189
张三76 96 31 60 62 187
张三12 94 51 28 57 173
张三42 61 83 28 57 172
张三18 84 70 70 74 224
张三91 90 6 81 59 177
张三30 61 84 21 55 166
张三29 16 58 11 28 85
张三24 0 49 21 23 70
张三45 88 46 31 55 165
张三63 74 17 52 47 143
张三42 47 38 41 42 126
张三20 84 55 69 69 208
张三98 58 39 19 38 116
张三61 62 80 31 57 173
张三79 54 38 49 47 141
张三21 15 28 54 32 97
张三31 46 49 16 37 111
张三99 79 71 42 64 192
张三2 92 81 37 70 210
张三55 83 64 65 70 212
张三86 52 27 16 31 95
张三1 70 0 91 53 161
张三91 48 57 30 45 135
张三1 3 67 95 55 165
张三56 22 37 95 51 154
张三26 57 70 85 70 212
张三86 55 33 62 50 150
张三34 86 58 48 64 192
张三80 94 53 40 62 187
张三72 1 36 76 37 113
张三53 93 49 55 65 197
张三7 6 0 41 15 47
张三96 66 75 82 74 223
张三49 85 93 33 70 211
张三24 24 66 21 37 111
张三19 18 72 55 48 145
张三89 19 12 89 40 120
张三64 84 52 80 72 216
张三75 28 3 60 30 91
张三33 79 47 77 67 203
张三0 59 92 72 74 223
张三71 48 40 68 52 156
张三77 56 15 83 51 154
张三77 18 35 98 50 151
张三34 20 28 45 31 93
张三44 69 91 2 54 162
张三74 95 77 27 66 199
张三88 1 28 5 11 34
张三26 78 14 4 32 96
张三7 64 60 5 43 129
张三42 48 1 1 16 50
张三52 60 99 15 58 174
张三5 28 88 54 56 170
张三87 48 24 50 40 122
张三79 18 49 18 28 85
张三78 6 17 15 12 38
张三13 78 9 56 47 143
张三31 17 11 9 12 37
张三67 26 97 63 62 186
张三69 3 3 45 17 51
张三33 2 10 29 13 41
张三33 15 13 80 36 108
张三69 9 81 40 43 130
张三26 42 12 74 42 128
张三64 8 66 61 45 135
张三41 24 33 37 31 94
张三2 67 4 64 45 135
张三55 58 54 33 48 145
张三1 64 29 84 59 177
张三65 34 4 48 28 86
张三35 94 17 27 46 138
张三3 57 34 37 42 128
张三70 47 93 52 64 192
张三59 27 55 16 32 98
张三71 42 62 5 36 109
张三92 86 41 56 61 183
张三65 41 11 85 45 137
张三19 51 42 96 63 189
张三57 77 99 52 76 228
张三94 6 49 87 47 142
张三42 64 47 23 44 134
张三43 6 24 30 20 60
张三67 79 80 17 58 176
张三92 18 70 70 52 158
张三11 41 89 32 54 162
张三13 15 12 59 28 86
张三20 14 17 64 31 95
张三87 84 16 2 34 102
张三86 7 82 28 39 117
张三36 17 57 49 41 123
张三73 63 94 9 55 166
张三94 3 21 95 39 119
张三34 55 31 60 48 146
张三6 33 10 99 47 142
张三45 21 74 51 48 146
张三80 86 61 40 62 187
张三85 14 24 96 44 134
张三31 62 23 66 50 151
张三15 49 48 40 45 137
张三92 79 38 8 41 125
张三37 76 24 76 58 176
张三76 48 27 61 45 136
张三52 3 82 21 35 106
张三26 90 71 56 72 217
张三21 48 75 72 65 195
张三70 75 43 73 63 191
张三25 8 4 21 11 33
张三86 67 36 75 59 178
张三65 55 90 7 50 152
张三31 37 73 58 56 168
张三39 13 85 17 38 115
张三88 68 21 40 43 129
张三14 64 38 85 62 187
张三57 36 25 55 38 116
张三48 92 69 36 65 197
张三53 94 35 3 44 132
张三53 69 23 81 57 173
张三33 47 15 76 46 138
张三98 28 96 50 58 174
张三35 13 21 83 39 117
张三84 89 64 40 64 193
张三4 17 10 11 12 38
张三53 32 59 92 61 183
张三52 39 26 12 25 77
张三7 25 54 35 38 114
张三62 38 42 12 30 92
张三43 58 74 66 66 198
张三46 7 84 63 51 154
张三49 38 35 36 36 109
张三2 40 59 96 65 195
张三92 50 75 90 71 215
张三44 4 49 42 31 95
张三6 82 39 42 54 163
张三93 66 60 25 50 151
张三75 76 16 23 38 115
张三53 98 33 61 64 192
张三33 51 57 11 39 119
张三13 70 52 97 73 219
张三59 6 12 26 14 44
张三47 12 9 75 32 96
张三33 99 68 66 77 233
张三4 86 5 25 38 116
张三63 71 75 9 51 155
张三2 10 13 1 8 24
张三13 54 92 1 49 147
张三88 30 19 23 24 72
张三0 66 93 14 57 173
张三9 23 8 92 41 123
张三25 14 11 45 23 70
张三6 74 88 78 80 240
张三53 33 7 78 39 118
张三42 79 48 12 46 139
张三80 43 7 42 30 92
张三13 43 91 30 54 164
张三24 94 25 35 51 154
张三6 86 6 45 45 137
张三50 38 75 90 67 203
张三0 88 59 39 62 186
张三8 56 40 5 33 101
张三34 10 7 18 11 35
张三33 1 48 82 43 131
张三75 90 84 62 78 236
张三57 69 81 10 53 160
张三70 7 9 58 24 74
张三16 83 97 18 66 198
张三61 35 0 10 15 45
张三60 65 67 80 70 212
张三94 58 6 54 39 118
张三94 32 44 21 32 97
张三60 10 0 25 11 35
张三10 31 4 96 43 131
张三39 47 74 60 60 181
张三93 11 53 10 24 74
张三38 84 38 26 49 148
张三98 80 69 11 53 160
张三50 44 30 3 25 77
张三47 22 30 86 46 138
张三67 5 56 81 47 142
张三81 48 47 14 36 109
张三30 40 47 30 39 117
张三72 4 0 83 29 87
张三92 84 94 55 77 233
张三81 89 56 68 71 213
张三33 80 78 60 72 218
张三5 28 0 16 14 44
张三56 88 38 69 65 195
张三68 5 22 95 40 122
张三41 44 27 77 49 148
张三37 70 38 2 36 110
张三48 24 41 41 35 106
张三64 58 39 37 44 134
张三90 35 39 24 32 98
张三2 87 81 83 83 251
张三14 41 81 48 56 170
张三27 28 85 55 56 168
张三76 8 42 41 30 91
张三73 62 98 8 56 168
张三80 6 0 55 20 61
张三66 58 23 11 30 92
张三18 13 90 7 36 110
张三6 56 36 33 41 125
张三50 11 72 72 51 155
张三35 26 47 91 54 164
张三93 70 70 19 53 159
张三92 30 56 69 51 155
张三12 49 57 79 61 185
张三49 24 28 99 50 151
张三31 65 14 78 52 157
张三61 73 89 53 71 215
张三14 21 81 80 60 182
张三91 56 99 6 53 161
张三82 78 66 17 53 161
张三89 96 70 65 77 231
张三55 16 2 17 11 35
张三31 35 34 62 43 131
张三44 24 54 27 35 105
张三55 40 75 65 60 180
张三41 13 10 20 14 43
张三39 16 74 59 49 149
张三64 37 26 29 30 92
张三14 48 45 88 60 181
张三61 66 98 23 62 187
张三17 16 48 73 45 137
张三90 59 82 49 63 190
张三6 42 16 42 33 100
张三20 9 79 96 61 184
张三12 69 30 37 45 136
张三14 77 72 34 61 183
张三84 73 22 76 57 171
张三2 34 71 63 56 168
张三60 74 2 6 27 82
张三51 62 96 65 74 223
张三82 78 23 50 50 151
张三85 4 24 32 20 60
张三5 78 51 52 60 181
张三14 54 61 26 47 141
张三2 99 90 67 85 256
张三81 29 25 97 50 151
张三49 48 69 45 54 162
张三27 56 47 57 53 160
张三39 22 22 16 20 60
张三38 80 31 73 61 184
张三75 79 88 68 78 235
张三29 68 23 65 52 156
张三19 71 23 75 56 169
张三60 66 88 87 80 241
张三10 95 13 19 42 127
张三20 30 82 31 47 143
张三87 17 4 20 13 41
张三92 46 84 5 45 135
张三56 76 7 47 43 130
张三1 10 18 55 27 83
张三4 54 47 99 66 200
张三18 14 74 27 38 115
张三52 91 52 68 70 211
张三47 95 20 11 42 126
张三85 80 0 12 30 92
张三36 5 50 98 51 153
张三15 51 77 23 50 151
张三82 32 21 41 31 94
张三54 51 25 52 42 128
张三31 79 78 5 54 162
张三14 65 58 20 47 143
张三80 69 49 49 55 167
张三48 40 84 55 59 179
张三33 38 80 78 65 196
张三15 17 77 3 32 97
张三78 45 38 41 41 124
张三19 60 73 14 49 147
张三78 1 88 83 57 172
张三59 51 72 13 45 136
张三5 85 46 66 65 197
张三98 3 97 92 64 192
张三40 25 37 21 27 83
张三19 78 26 84 62 188
张三27 40 32 96 56 168
张三55 40 95 12 49 147
张三76 84 33 7 41 124
张三81 74 54 21 49 149
张三12 29 30 15 24 74
张三20 35 0 38 24 73
张三45 84 55 75 71 214
张三9 26 39 11 25 76
张三0 34 92 44 56 170
张三2 18 52 29 33 99
张三31 48 42 40 43 130
张三35 49 49 23 40 121
张三7 92 30 72 64 194
张三62 76 47 97 73 220
张三43 32 10 5 15 47
张三31 59 13 41 37 113
张三23 39 15 26 26 80
张三90 6 43 27 25 76
张三24 8 43 17 22 68
张三4 16 80 83 59 179
张三50 56 86 48 63 190
张三41 77 89 5 57 171
张三28 80 31 63 58 174
张三73 23 31 49 34 103
张三29 62 13 10 28 85
张三64 58 25 7 30 90
张三14 72 74 30 58 176
张三76 94 74 65 77 233
张三15 7 68 30 35 105
张三94 60 97 97 84 254
张三8 44 27 85 52 156
张三54 80 96 48 74 224
张三33 23 52 41 38 116
张三40 38 47 87 57 172
张三72 76 25 36 45 137
张三60 63 0 67 43 130
张三83 63 29 44 45 136
张三34 7 16 1 8 24
张三53 87 38 7 44 132
张三52 4 88 35 42 127
张三32 2 14 23 13 39
张三79 23 18 6 15 47
张三35 27 8 90 41 125
张三15 67 42 84 64 193
张三49 34 73 44 50 151
张三48 71 36 50 52 157
张三65 85 19 17 40 121
张三51 92 43 73 69 208
张三30 14 76 15 35 105
张三95 24 88 56 56 168
张三90 89 46 3 46 138
张三13 47 92 90 76 229
张三63 9 56 28 31 93
张三10 10 0 32 14 42
张三66 13 40 19 24 72
张三7 17 65 79 53 161
张三87 97 26 61 61 184
张三82 40 69 34 47 143
张三77 79 90 24 64 193
张三23 94 73 55 74 222
张三90 62 6 73 47 141
张三19 54 23 49 42 126
张三22 65 18 32 38 115
张三52 87 55 56 66 198
张三97 42 96 42 60 180
张三65 28 69 24 40 121
张三22 0 59 46 35 105
张三20 34 78 76 62 188
张三2 83 72 6 53 161
张三71 89 47 17 51 153
张三85 88 67 12 55 167
张三12 43 68 37 49 148
张三86 33 22 50 35 105
张三79 4 58 0 20 62
张三96 90 8 46 48 144
张三17 28 46 40 38 114
张三85 43 99 87 76 229
张三44 68 14 78 53 160
张三63 52 81 91 74 224
张三55 76 98 58 77 232
张三37 20 29 91 46 140
张三74 68 52 59 59 179
张三91 97 22 34 51 153
张三30 7 51 9 22 67
张三81 73 22 24 39 119
张三15 50 70 44 54 164
张三10 40 38 55 44 133
张三63 69 81 62 70 212
张三40 18 43 12 24 73
张三42 53 32 71 52 156
张三31 88 27 42 52 157
张三57 25 25 34 28 84
张三47 75 90 16 60 181
张三4 59 90 65 71 214
张三52 59 24 34 39 117
张三30 69 30 16 38 115
张三67 24 25 53 34 102
张三71 98 79 61 79 238
张三0 73 35 30 46 138
张三90 41 1 87 43 129
张三48 53 15 13 27 81
张三36 73 27 21 40 121
张三23 81 94 25 66 200
张三80 73 91 63 75 227
张三76 65 31 23 39 119
张三20 48 37 18 34 103
张三3 55 10 18 27 83
张三51 23 85 26 44 134
张三62 75 45 7 42 127
张三32 38 89 36 54 163
张三39 12 44 37 31 93
张三19 52 28 95 58 175
张三28 70 97 0 55 167
张三28 79 5 17 33 101
张三40 12 61 46 39 119
张三48 81 48 76 68 205
张三25 55 58 47 53 160
张三29 97 41 28 55 166
张三89 78 22 61 53 161
张三6 93 24 51 56 168
张三47 64 52 62 59 178
张三37 48 44 80 57 172
张三19 96 55 54 68 205
张三62 20 46 46 37 112
张三88 61 90 76 75 227
张三13 62 29 66 52 157
张三58 39 52 65 52 156
张三46 66 19 41 42 126
张三86 93 50 35 59 178
张三48 64 23 51 46 138
张三85 63 60 94 72 217
张三54 22 66 60 49 148
张三9 49 78 97 74 224
张三93 93 33 72 66 198
张三64 33 89 15 45 137
张三17 16 65 95 58 176
张三33 64 30 71 55 165
张三97 92 76 5 57 173
张三76 23 14 58 31 95
张三5 52 94 21 55 167
张三61 24 36 60 40 120
张三87 12 39 33 28 84
张三34 38 99 21 52 158
张三12 84 6 36 42 126
张三33 24 6 47 25 77
张三62 73 95 77 81 245
张三4 19 12 41 24 72
张三67 86 11 97 64 194
张三74 22 53 80 51 155
张三36 42 47 42 43 131
张三94 63 63 6 44 132
张三18 48 90 79 72 217
张三40 49 70 98 72 217
张三86 75 39 13 42 127
张三63 29 27 20 25 76
张三55 70 13 29 37 112
张三97 16 11 71 32 98
张三51 67 87 71 75 225
张三88 62 4 3 23 69
张三4 91 96 51 79 238
张三93 70 33 63 55 166
张三36 69 77 56 67 202
张三57 94 49 62 68 205
张三52 99 53 71 74 223
张三80 55 40 15 36 110
张三72 18 80 57 51 155
张三21 75 44 75 64 194
张三51 94 94 46 78 234
张三12 18 86 61 55 165
张三76 27 47 45 39 119
张三62 70 49 60 59 179
张三47 22 14 49 28 85
张三95 19 85 48 50 152
张三65 88 7 24 39 119
张三32 93 82 59 78 234
张三95 57 28 95 60 180
张三25 92 78 99 89 269
张三75 43 48 46 45 137
张三3 5 79 90 58 174
张三91 72 0 47 39 119
张三67 2 5 76 27 83
张三32 63 11 24 32 98
张三84 47 95 36 59 178
张三98 38 19 62 39 119
张三22 60 34 92 62 186
张三30 88 52 13 51 153
张三58 42 78 91 70 211
张三83 24 61 18 34 103
张三41 26 98 13 45 137
张三56 90 27 1 39 118
张三82 24 73 32 43 129
张三48 24 3 73 33 100
张三25 78 87 18 61 183
张三24 83 42 56 60 181
张三98 46 20 74 46 140
张三79 75 29 20 41 124
张三67 69 46 45 53 160
张三62 61 27 87 58 175
张三22 6 67 31 34 104
张三80 20 81 61 54 162
张三88 37 37 95 56 169
张三0 93 74 59 75 226
张三35 57 79 60 65 196
张三29 47 99 79 75 225
张三12 24 91 21 45 136
张三14 26 99 21 48 146
张三54 34 71 24 43 129
张三21 74 9 38 40 121
张三27 31 38 80 49 149
张三70 59 69 98 75 226
张三6 66 22 29 39 117
张三32 21 12 72 35 105
张三0 87 28 65 60 180
张三26 26 50 85 53 161
张三80 2 26 79 35 107
张三65 14 0 0 4 14
张三66 57 11 98 55 166
张三36 42 24 5 23 71
张三82 22 21 10 17 53
张三24 88 84 40 70 212
张三74 62 32 15 36 109
张三5 61 26 77 54 164
张三70 67 49 39 51 155
张三67 17 55 43 38 115
张三13 36 72 94 67 202
张三49 0 50 42 30 92
张三94 52 0 88 46 140
张三86 37 44 23 34 104
张三83 97 3 90 63 190
张三13 72 70 1 47 143
张三8 92 85 35 70 212
张三68 6 25 16 15 47
张三59 57 98 8 54 163
张三85 84 37 8 43 129
张三96 19 96 32 49 147
张三80 52 9 23 28 84
张三93 40 43 78 53 161
张三65 53 90 82 75 225
张三61 11 90 42 47 143
张三39 61 90 93 81 244
张三7 48 12 76 45 136
张三46 69 40 68 59 177
张三39 0 58 59 39 117
张三5 49 75 86 70 210
张三28 25 47 46 39 118
张三37 91 68 15 58 174
张三69 15 30 40 28 85
张三55 71 67 73 70 211
张三17 75 90 60 75 225
张三95 93 97 10 66 200
张三85 83 54 13 50 150
张三86 28 36 18 27 82
张三31 80 31 86 65 197
张三11 26 80 24 43 130
张三70 73 14 13 33 100
张三93 95 40 2 45 137
张三85 62 0 96 52 158
张三0 43 60 19 40 122
张三32 0 21 76 32 97
张三80 54 33 18 35 105
张三50 59 79 75 71 213
张三40 38 48 61 49 147
张三38 68 46 71 61 185
张三48 56 22 20 32 98
张三42 36 60 74 56 170
张三20 45 67 92 68 204
张三73 77 26 96 66 199
张三11 67 18 39 41 124
张三54 5 15 64 28 84
张三38 57 19 19 31 95
张三55 63 5 94 54 162
张三89 63 31 41 45 135
张三77 98 22 35 51 155
张三4 94 23 55 57 172
张三77 10 60 51 40 121
张三32 5 55 75 45 135
张三66 29 99 94 74 222
张三97 2 63 76 47 141
张三6 90 50 2 47 142
张三24 51 2 43 32 96
张三90 21 87 4 37 112
张三21 99 17 30 48 146
张三98 72 55 27 51 154
张三8 64 32 71 55 167
张三31 22 53 34 36 109
张三25 44 97 64 68 205
张三92 66 44 50 53 160
张三99 48 18 98 54 164
张三67 73 35 37 48 145
张三13 62 60 6 42 128
张三1 35 22 28 28 85
张三21 80 14 62 52 156
张三0 85 6 46 45 137
张三17 88 41 57 62 186
张三83 34 14 50 32 98
张三21 72 64 16 50 152
张三76 55 88 98 80 241
张三71 72 50 47 56 169
张三23 26 23 11 20 60
张三14 31 5 29 21 65
张三43 92 71 72 78 235
张三39 92 92 92 92 276
张三79 25 28 15 22 68
张三5 45 14 23 27 82
张三98 84 95 63 80 242
张三42 35 55 22 37 112
张三50 5 58 39 34 102
张三41 69 49 91 69 209
张三86 72 35 53 53 160
张三48 95 21 10 42 126
张三5 49 98 30 59 177
张三42 39 35 56 43 130
张三74 77 42 43 54 162
张三55 20 33 61 38 114
张三29 63 82 67 70 212
张三58 78 44 10 44 132
张三78 17 91 63 57 171
张三34 87 3 22 37 112
张三35 14 9 49 24 72
张三4 41 19 88 49 148
张三78 83 87 41 70 211
张三74 31 66 33 43 130
张三95 54 49 51 51 154
张三28 49 91 30 56 170
张三72 14 79 73 55 166
张三81 91 69 5 55 165
张三31 58 74 11 47 143
张三56 51 43 76 56 170
张三22 21 22 24 22 67
张三77 13 24 48 28 85
张三29 46 77 78 67 201
张三60 90 62 41 64 193
张三42 10 60 46 38 116
张三60 76 78 14 56 168
张三12 22 13 91 42 126
张三12 94 46 36 58 176
张三77 58 54 26 46 138
张三59 70 56 94 73 220
张三37 97 37 26 53 160
张三64 58 92 59 69 209
张三20 88 19 45 50 152
张三47 94 20 30 48 144
张三50 33 57 66 52 156
张三2 67 42 38 49 147
张三25 97 20 74 63 191
张三60 17 99 85 67 201
张三62 60 77 45 60 182
张三37 7 6 41 18 54
张三57 80 78 76 78 234
张三61 43 40 23 35 106
张三89 25 74 12 37 111
张三68 8 48 35 30 91
张三35 7 20 44 23 71
张三19 54 21 45 40 120
张三8 10 53 68 43 131
张三74 79 53 20 50 152
张三14 0 53 49 34 102
张三30 51 93 45 63 189
张三84 76 29 25 43 130
张三90 84 44 6 44 134
张三60 63 78 29 56 170
张三51 67 81 11 53 159
张三3 92 4 40 45 136
张三3 0 87 66 51 153
张三68 4 22 72 32 98
张三82 91 15 49 51 155
张三78 72 59 66 65 197
张三32 15 51 33 33 99
张三64 20 25 52 32 97
张三52 50 20 61 43 131
张三74 4 41 80 41 125
张三39 17 52 73 47 142
张三58 71 25 59 51 155
张三61 14 29 30 24 73
张三89 97 75 31 67 203
张三10 13 44 98 51 155
张三74 9 12 80 33 101
张三24 53 70 73 65 196
张三60 0 60 61 40 121
张三75 49 8 67 41 124
张三41 12 82 73 55 167
张三68 14 64 93 57 171
张三31 53 96 46 65 195
张三95 52 79 9 46 140
张三51 57 46 88 63 191
张三32 60 98 2 53 160
张三38 10 91 17 39 118
张三88 73 72 46 63 191
张三83 5 49 91 48 145
张三26 16 13 45 24 74
张三59 91 1 90 60 182
张三29 60 51 43 51 154
张三94 32 46 27 35 105
张三81 87 66 86 79 239
张三82 1 56 81 46 138
张三75 23 90 40 51 153
张三70 56 82 89 75 227
张三70 83 6 10 33 99
张三37 85 7 36 42 128
张三76 37 80 26 47 143
张三60 21 31 27 26 79
张三17 6 21 74 33 101
张三45 50 66 37 51 153
张三10 27 31 94 50 152
张三48 77 41 60 59 178
张三67 56 7 77 46 140
张三32 16 72 26 38 114
张三95 99 13 29 47 141
张三22 16 33 29 26 78
张三59 92 4 83 59 179
张三62 45 37 6 29 88
张三33 57 3 83 47 143
张三82 99 11 54 54 164
张三50 15 48 60 41 123
张三31 89 28 63 60 180
张三31 48 60 87 65 195
张三36 43 26 31 33 100
张三48 4 97 75 58 176
张三84 18 28 55 33 101
张三53 13 5 45 21 63
张三45 3 48 35 28 86
张三89 69 73 98 80 240
张三88 73 31 33 45 137
张三44 59 47 58 54 164
张三47 6 91 64 53 161
张三29 75 77 66 72 218
张三34 92 14 26 44 132
张三90 29 91 44 54 164
张三33 83 53 80 72 216
张三79 62 17 64 47 143
张三92 65 44 51 53 160
张三51 5 3 85 31 93
张三9 56 0 1 19 57
张三53 44 10 51 35 105
张三89 60 69 97 75 226
张三28 1 64 56 40 121
张三99 24 70 87 60 181
张三58 12 5 14 10 31
张三57 81 35 30 48 146
张三0 94 65 2 53 161
张三40 92 24 75 63 191
张三2 2 65 63 43 130
张三85 91 90 66 82 247
